Expression	Value	Location	Type	
halt	'\0' (0x00)	0x200014F6	uint8_t	
resultNdmParam	<array>".b...цсгнлй§яеq"	0x2000148C	uint8_t[15]	
rxNdmCadr	<array>	0x2000070C	uint16_t[1216]	
[571]	30353	0x20000B82	uint16_t	
[572]	33522	0x20000B84	uint16_t	
[573]	34058	0x20000B86	uint16_t	
[574]	31173	0x20000B88	uint16_t	
[575]	24803	0x20000B8A	uint16_t	
[576]	19065	0x20000B8C	uint16_t	
[577]	17354	0x20000B8E	uint16_t	
[578]	18669	0x20000B90	uint16_t	
[579]	20930	0x20000B92	uint16_t	
[580]	22980	0x20000B94	uint16_t	
[581]	24940	0x20000B96	uint16_t	
[582]	29206	0x20000B98	uint16_t	
[583]	33161	0x20000B9A	uint16_t	
[584]	34967	0x20000B9C	uint16_t	
[585]	35091	0x20000B9E	uint16_t	
[586]	32333	0x20000BA0	uint16_t	
[587]	26695	0x20000BA2	uint16_t	
[588]	21341	0x20000BA4	uint16_t	
[589]	19879	0x20000BA6	uint16_t	
[590]	24884	0x20000BA8	uint16_t	
[591]	31226	0x20000BAA	uint16_t	
[592]	34176	0x20000BAC	uint16_t	
[593]	34589	0x20000BAE	uint16_t	
[594]	31822	0x20000BB0	uint16_t	
[595]	25677	0x20000BB2	uint16_t	
[596]	19867	0x20000BB4	uint16_t	
[597]	18410	0x20000BB6	uint16_t	
[598]	23594	0x20000BB8	uint16_t	
[599]	30400	0x20000BBA	uint16_t	
[600]	33664	0x20000BBC	uint16_t	
[601]	34353	0x20000BBE	uint16_t	
[602]	33766	0x20000BC0	uint16_t	
[603]	32670	0x20000BC2	uint16_t	
[604]	31401	0x20000BC4	uint16_t	
[605]	30079	0x20000BC6	uint16_t	
[606]	26691	0x20000BC8	uint16_t	
[607]	21038	0x20000BCA	uint16_t	
[608]	17049	0x20000BCC	uint16_t	
[609]	16582	0x20000BCE	uint16_t	
[610]	21830	0x20000BD0	uint16_t	
[611]	29165	0x20000BD2	uint16_t	
[612]	32877	0x20000BD4	uint16_t	
[613]	33704	0x20000BD6	uint16_t	
[614]	31193	0x20000BD8	uint16_t	
[615]	25059	0x20000BDA	uint16_t	
[616]	19146	0x20000BDC	uint16_t	
[617]	17363	0x20000BDE	uint16_t	
[618]	22163	0x20000BE0	uint16_t	
[619]	29497	0x20000BE2	uint16_t	
[620]	33176	0x20000BE4	uint16_t	
[621]	34062	0x20000BE6	uint16_t	
[622]	31646	0x20000BE8	uint16_t	
[623]	25520	0x20000BEA	uint16_t	
[624]	19313	0x20000BEC	uint16_t	
[625]	17320	0x20000BEE	uint16_t	
[626]	21977	0x20000BF0	uint16_t	
[627]	29440	0x20000BF2	uint16_t	
[628]	33248	0x20000BF4	uint16_t	
[629]	34116	0x20000BF6	uint16_t	
[630]	31901	0x20000BF8	uint16_t	
[631]	26010	0x20000BFA	uint16_t	
[632]	19892	0x20000BFC	uint16_t	
[633]	17794	0x20000BFE	uint16_t	
[634]	22357	0x20000C00	uint16_t	
[635]	29705	0x20000C02	uint16_t	
[636]	33480	0x20000C04	uint16_t	
[637]	34431	0x20000C06	uint16_t	
[638]	32278	0x20000C08	uint16_t	
[639]	26447	0x20000C0A	uint16_t	
[640]	20283	0x20000C0C	uint16_t	
[641]	18128	0x20000C0E	uint16_t	
[642]	22466	0x20000C10	uint16_t	
[643]	29684	0x20000C12	uint16_t	
